Chunk ID,Character Count,Temple Name Metadata,Raw Text Content
16,2017,Thandalam Sivan Temple,"The old temple was completely destroyed and only Swami was standing by the pond.The old temple was completely destroyed and only Swami was standing by the pond.Can't load alternativesTry againThe old temple was completely destroyed and only Swami was standing by the pond. The villagers of Thandalam have gathered and built a small temple to worship.The villagers of Thandalam have gathered and built a small temple to worship.Can't load alternativesTry againThe villagers of Thandalam have gathered and built a small temple to worship. There are Ganesha and Murugan idols on both sides of the sanctum sanctorum door.There are Ganesha and Murugan idols on both sides of the sanctum sanctorum door.Can't load alternativesTry againThere are Ganesha and Murugan idols on both sides of the sanctum sanctorum door. An old Jeshta Devi idol is found under a heat tree nearby.An old Jeshta Devi idol is found under a heat tree nearby.Can't load alternativesTry againAn old Jeshta Devi idol is found under a heat tree nearby. Swami's name is Sri Maheshwaran Ambal Srimaheshwari.Swami's name is Sri Maheshwaran Ambal Srimaheshwari.Can't load alternativesTry againSwami's name is Sri Maheshwaran Ambal Srimaheshwari. Contact Mr. Radhakrishnan - 8754401805, Amsaveni-9790815110.Contact Mr. Radhakrishnan - 8754401805, Amsaveni-9790815110.Can't load alternativesTry againContact Mr. Radhakrishnan - 8754401805, Amsaveni-9790815110. Thiru Eyumalai- 9566267461. 3 KM on Tiruporur- Mamallapuram Road.Thiru Eyumalai- 9566267461. 3 KM on Tiruporur- Mamallapuram Road.Can't load alternativesTry againThiru Eyumalai- 9566267461. 3 KM on Tiruporur- Mamallapuram Road. This village is far away.This village is far away.Can't load alternativesTry againThis village is far away. City buses ply from Tambaram, Tirupporur, and Chennai.City buses ply from Tambaram, Tirupporur, and Chennai.Can't load alternativesTry againCity buses ply from Tambaram, Tirupporur, and Chennai.
Jeshta Devi
Jeshta DeviCan't load alternativesTry again
Jeshta Devi"
17,2060,Aalathur Sivan Temple,"On the road from Thiruporur to Mamallapuram, it is about 3 km.On the road from Thiruporur to Mamallapuram, it is about 3 km.Can't load alternativesTry againOn the road from Thiruporur to Mamallapuram, it is about 3 km. If you travel you can find this temple in Alatur village.If you travel you can find this temple in Alatur village.Can't load alternativesTry againIf you travel you can find this temple in Alatur village. A very old temple.A very old temple.Can't load alternativesTry againA very old temple. Flag tree, Rajagopuram, Goshta murthas were once there and now there is nothing.Flag tree, Rajagopuram, Goshta murthas were once there and now there is nothing.Can't load alternativesTry againFlag tree, Rajagopuram, Goshta murthas were once there and now there is nothing. Eason consecrated and worshiped by Mamakarishi Agasthya.Eason consecrated and worshiped by Mamakarishi Agasthya.Can't load alternativesTry againEason consecrated and worshiped by Mamakarishi Agasthya. So he got the name Sri Agastheeswarar.So he got the name Sri Agastheeswarar.Can't load alternativesTry againSo he got the name Sri Agastheeswarar. Ambal Sri Akilandeshwari.Ambal Sri Akilandeshwari.Can't load alternativesTry againAmbal Sri Akilandeshwari. Presently Dwara Ganapathi, Valli Devasena, Sametha Murugan, Sandikeswarar, and Bhairava.Presently Dwara Ganapathi, Valli Devasena, Sametha Murugan, Sandikeswarar, and Bhairava.Can't load alternativesTry againPresently Dwara Ganapathi, Valli Devasena, Sametha Murugan, Sandikeswarar, and Bhairava. Opposite is the temple pond.Opposite is the temple pond.Can't load alternativesTry againOpposite is the temple pond. There is a puja for a while.There is a puja for a while.Can't load alternativesTry againThere is a puja for a while. Contact Mr. Kathir Iyer-9444799023, Mr. Dayalan- 8124004808, Mr. Harendran-8680895761.Contact Mr. Kathir Iyer-9444799023, Mr. Dayalan- 8124004808, Mr. Harendran-8680895761.Can't load alternativesTry againContact Mr. Kathir Iyer-9444799023, Mr. Dayalan- 8124004808, Mr. Harendran-8680895761."
18,5597,Payyanur Temples,"Sri Ezhilarkuzali Ambal Sametha Sri Eteeswarar Temple, built by Vijayanandi Vikrama Pallavan in AD.Sri Ezhilarkuzali Ambal Sametha Sri Eteeswarar Temple, built by Vijayanandi Vikrama Pallavan in AD.Can't load alternativesTry againSri Ezhilarkuzali Ambal Sametha Sri Eteeswarar Temple, built by Vijayanandi Vikrama Pallavan in AD. Built in the year 773, it was completely destroyed in the floods and there were no pujas for many years, but it was rebuilt in 2011 and Kumbabhishekam was held.Built in the year 773, it was completely destroyed in the floods and there were no pujas for many years, but it was rebuilt in 2011 and Kumbabhishekam was held.Can't load alternativesTry againBuilt in the year 773, it was completely destroyed in the floods and there were no pujas for many years, but it was rebuilt in 2011 and Kumbabhishekam was held. Presently two pujas are held.Presently two pujas are held.Can't load alternativesTry againPresently two pujas are held. Annotated Nayanar from Thondai country has sung songs in praise of the Lord here.Annotated Nayanar from Thondai country has sung songs in praise of the Lord here.Can't load alternativesTry againAnnotated Nayanar from Thondai country has sung songs in praise of the Lord here. There are some indications that the Siddhas of Adhikatta worshiped Isaan here.There are some indications that the Siddhas of Adhikatta worshiped Isaan here.Can't load alternativesTry againThere are some indications that the Siddhas of Adhikatta worshiped Isaan here.
In this temple with flagpole and Nandi Mandapam, if you enter the Dwara Balars and enter, Sri Eteeswarar gives darshan to the east.
In this temple with flagpole and Nandi Mandapam, if you enter the Dwara Balars and enter, Sri Eteeswarar gives darshan to the east.Can't load alternativesTry again
In this temple with flagpole and Nandi Mandapam, if you enter the Dwara Balars and enter, Sri Eteeswarar gives darshan to the east. Ambal shrine facing south.Ambal shrine facing south.Can't load alternativesTry againAmbal shrine facing south. Along with the Pancha Goshta shrines there are shrines of Sri Agasthiyar, Sri Vallalar, Sri Bhairava and Sri Surya.Along with the Pancha Goshta shrines there are shrines of Sri Agasthiyar, Sri Vallalar, Sri Bhairava and Sri Surya.Can't load alternativesTry againAlong with the Pancha Goshta shrines there are shrines of Sri Agasthiyar, Sri Vallalar, Sri Bhairava and Sri Surya. A 2000-year-old Shiva lingam found while paving the pond is in a separate shrine.A 2000-year-old Shiva lingam found while paving the pond is in a separate shrine.Can't load alternativesTry againA 2000-year-old Shiva lingam found while paving the pond is in a separate shrine.
This temple is the best remedy for unsolved cases, marriage ban, child luck.
This temple is the best remedy for unsolved cases, marriage ban, child luck.Can't load alternativesTry again
This temple is the best remedy for unsolved cases, marriage ban, child luck.Contact Mr. Murthy- 99415 34893, Mr. Sundararaj-9566184387.Contact Mr. Murthy- 99415 34893, Mr. Sundararaj-9566184387.Can't load alternativesTry againContact Mr. Murthy- 99415 34893, Mr. Sundararaj-9566184387.
On the Chennai-Mamallapuram Omar road lies the village of Baiyanur.
On the Chennai-Mamallapuram Omar road lies the village of Baiyanur.Can't load alternativesTry again
On the Chennai-Mamallapuram Omar road lies the village of Baiyanur. From here Mamallapuram is 6 km.From here Mamallapuram is 6 km.Can't load alternativesTry againFrom here Mamallapuram is 6 km.
Bhayanur Eteeswarar Temple is located on the south bank of Thirukkulam and Karunakara Perumal Temple is on the north bank.
Bhayanur Eteeswarar Temple is located on the south bank of Thirukkulam and Karunakara Perumal Temple is on the north bank.Can't load alternativesTry again
Bhayanur Eteeswarar Temple is located on the south bank of Thirukkulam and Karunakara Perumal Temple is on the north bank. Both the temples were built at the same time. Completely stone temple.Both the temples were built at the same time. Completely stone temple.Can't load alternativesTry againBoth the temples were built at the same time. Completely stone temple. Sri Karunakara Perumal will present Sri Karunakara Perumal in the golam where Sridevi Bhudevi stood as Samedar, bearing the Prayoga Chakra, if you enter the temple where the flagpole stands with two prakaras.Sri Karunakara Perumal will present Sri Karunakara Perumal in the golam where Sridevi Bhudevi stood as Samedar, bearing the Prayoga Chakra, if you enter the temple where the flagpole stands with two prakaras.Can't load alternativesTry againSri Karunakara Perumal will present Sri Karunakara Perumal in the golam where Sridevi Bhudevi stood as Samedar, bearing the Prayoga Chakra, if you enter the temple where the flagpole stands with two prakaras. It is said that this Lord was lying in the pond for a long time, and Zameen came to him in a dream and ordered him to be worshiped in the temple.It is said that this Lord was lying in the pond for a long time, and Zameen came to him in a dream and ordered him to be worshiped in the temple.Can't load alternativesTry againIt is said that this Lord was lying in the pond for a long time, and Zameen came to him in a dream and ordered him to be worshiped in the temple.
Temple Timings 6 AM-12 PM, 4 PM-7.30 PM.
Temple Timings 6 AM-12 PM, 4 PM-7.30 PM.Can't load alternativesTry again
Temple Timings 6 AM-12 PM, 4 PM-7.30 PM. Contact Mr. Kannayadasan-9092270404,Contact Mr. Kannayadasan-9092270404,Can't load alternativesTry againContact Mr. Kannayadasan-9092270404,"
19,3287,Edarkundram Temples,"There are two ancient temples overlooking a small hilltop in a very peaceful setting.There are two ancient temples overlooking a small hilltop in a very peaceful setting.Can't load alternativesTry againThere are two ancient temples overlooking a small hilltop in a very peaceful setting. One is Shiva temple.One is Shiva temple.Can't load alternativesTry againOne is Shiva temple. The other is the Narasimha Perumal Temple.The other is the Narasimha Perumal Temple.Can't load alternativesTry againThe other is the Narasimha Perumal Temple. The Esan Thirunam here is Sri Thirumalai Ishwarar.The Esan Thirunam here is Sri Thirumalai Ishwarar.Can't load alternativesTry againThe Esan Thirunam here is Sri Thirumalai Ishwarar. Ambal Sri Sornambikai.Ambal Sri Sornambikai.Can't load alternativesTry againAmbal Sri Sornambikai. Eason gives a majestic view towards the east, surrounded by Goshta idols.Eason gives a majestic view towards the east, surrounded by Goshta idols.Can't load alternativesTry againEason gives a majestic view towards the east, surrounded by Goshta idols. A beautiful pond is found at the foot of the hill.A beautiful pond is found at the foot of the hill.Can't load alternativesTry againA beautiful pond is found at the foot of the hill. Daily puja takes place.Daily puja takes place.Can't load alternativesTry againDaily puja takes place.
Narasimha Temple is on another part of the hill near Shiva Temple.
Narasimha Temple is on another part of the hill near Shiva Temple.Can't load alternativesTry again
Narasimha Temple is on another part of the hill near Shiva Temple. Sri Narasimha Perumal graces the rock as Swami Swayambu.Sri Narasimha Perumal graces the rock as Swami Swayambu.Can't load alternativesTry againSri Narasimha Perumal graces the rock as Swami Swayambu. You have to squint to see the very elegant sculptural form.You have to squint to see the very elegant sculptural form.Can't load alternativesTry againYou have to squint to see the very elegant sculptural form. A must visit temple.A must visit temple.Can't load alternativesTry againA must visit temple. Pooja takes place here too.Pooja takes place here too.Can't load alternativesTry againPooja takes place here too.
It is said by the villagers that when they came to break stones here during the British rule, the crane broke down several times and left here.
It is said by the villagers that when they came to break stones here during the British rule, the crane broke down several times and left here.Can't load alternativesTry again
It is said by the villagers that when they came to break stones here during the British rule, the crane broke down several times and left here.
Ederkunram, 2 km from Kotamedu village on Tiruporur-Sengalpattu road.
Ederkunram, 2 km from Kotamedu village on Tiruporur-Sengalpattu road.Can't load alternativesTry again
Ederkunram, 2 km from Kotamedu village on Tiruporur-Sengalpattu road. is far away.is far away.Can't load alternativesTry againis far away. Contact Mr. Lokhu- 9095043658, Mr. Parthasarathy-9159129791, Mr. Venkataraman- 7639579700.Contact Mr. Lokhu- 9095043658, Mr. Parthasarathy-9159129791, Mr. Venkataraman- 7639579700.Can't load alternativesTry againContact Mr. Lokhu- 9095043658, Mr. Parthasarathy-9159129791, Mr. Venkataraman- 7639579700."
20,1511,Vengoor Temples,"The villagers of Vengur have taken the Shiva linga from the clearing and built a small shed to worship it.The villagers of Vengur have taken the Shiva linga from the clearing and built a small shed to worship it.Can't load alternativesTry againThe villagers of Vengur have taken the Shiva linga from the clearing and built a small shed to worship it. Swami's name is not known.Swami's name is not known.Can't load alternativesTry againSwami's name is not known. All the idols from the nearby Perumal temple have disappeared and new idols are being installed.All the idols from the nearby Perumal temple have disappeared and new idols are being installed.Can't load alternativesTry againAll the idols from the nearby Perumal temple have disappeared and new idols are being installed. The temple is currently under construction.The temple is currently under construction.Can't load alternativesTry againThe temple is currently under construction. Nearby is the temple Thirukulam.Nearby is the temple Thirukulam.Can't load alternativesTry againNearby is the temple Thirukulam. Contact Mr. Gopalakrishnan-9626576908, Mr. Mohan-93817 74283. You can reach here by buses going to Thiruporur-Sengalpattu, Kanchipuram.Contact Mr. Gopalakrishnan-9626576908, Mr. Mohan-93817 74283. You can reach here by buses going to Thiruporur-Sengalpattu, Kanchipuram.Can't load alternativesTry againContact Mr. Gopalakrishnan-9626576908, Mr. Mohan-93817 74283. You can reach here by buses going to Thiruporur-Sengalpattu, Kanchipuram."
21,5605,Anumanthapuram Temples,"It is history that when Shri Anjaneya was penance to Lord Shiva to get Shivadiksha in the beginning, Isa also willingly gave diksha with Sri Veerabhatra.It is history that when Shri Anjaneya was penance to Lord Shiva to get Shivadiksha in the beginning, Isa also willingly gave diksha with Sri Veerabhatra.Can't load alternativesTry againIt is history that when Shri Anjaneya was penance to Lord Shiva to get Shivadiksha in the beginning, Isa also willingly gave diksha with Sri Veerabhatra. History says that Anjaneya too was happy and stayed here after doing Shiva Puja.History says that Anjaneya too was happy and stayed here after doing Shiva Puja.Can't load alternativesTry againHistory says that Anjaneya too was happy and stayed here after doing Shiva Puja.
Now there is a small temple on top of the hill.
Now there is a small temple on top of the hill.Can't load alternativesTry again
Now there is a small temple on top of the hill. To reach here, take the Singaperumalkoil-Anumanthapuram road and take a small dirt road for 3 km that splits at a village called Darkas to reach the base of the hill.To reach here, take the Singaperumalkoil-Anumanthapuram road and take a small dirt road for 3 km that splits at a village called Darkas to reach the base of the hill.Can't load alternativesTry againTo reach here, take the Singaperumalkoil-Anumanthapuram road and take a small dirt road for 3 km that splits at a village called Darkas to reach the base of the hill. There is no right way to climb a mountain.There is no right way to climb a mountain.Can't load alternativesTry againThere is no right way to climb a mountain.
Anumanthapuram Sri Veerabhatra Temple
Anumanthapuram Sri Veerabhatra TempleCan't load alternativesTry again
Anumanthapuram Sri Veerabhatra Temple
Shree Veerabhatrar Swamy Temple, a feature of Sivabira, is about 9 kms near Singaperumal Temple.
Shree Veerabhatrar Swamy Temple, a feature of Sivabira, is about 9 kms near Singaperumal Temple.Can't load alternativesTry again
Shree Veerabhatrar Swamy Temple, a feature of Sivabira, is about 9 kms near Singaperumal Temple. Located far away.Located far away.Can't load alternativesTry againLocated far away. This very famous temple is about 3000 years old.This very famous temple is about 3000 years old.Can't load alternativesTry againThis very famous temple is about 3000 years old. After the Dakshan Samharam, Sri Veerapathiraswamy came here very angry and hungry. Mother Kali gave Swami sugarcane yams and mountain honey to satisfy his hunger.After the Dakshan Samharam, Sri Veerapathiraswamy came here very angry and hungry. Mother Kali gave Swami sugarcane yams and mountain honey to satisfy his hunger.Can't load alternativesTry againAfter the Dakshan Samharam, Sri Veerapathiraswamy came here very angry and hungry. Mother Kali gave Swami sugarcane yams and mountain honey to satisfy his hunger. As soon as Ambal folded the betel leaf, the hunger subsided and the anger subsided.As soon as Ambal folded the betel leaf, the hunger subsided and the anger subsided.Can't load alternativesTry againAs soon as Ambal folded the betel leaf, the hunger subsided and the anger subsided.
The source here is Sri Akoravirabhatra.
The source here is Sri Akoravirabhatra.Can't load alternativesTry again
The source here is Sri Akoravirabhatra. Ambal Sri Kalikampal.Ambal Sri Kalikampal.Can't load alternativesTry againAmbal Sri Kalikampal. Dakshinamurthy and Lingotpavar are the only ones in Koshta.Dakshinamurthy and Lingotpavar are the only ones in Koshta.Can't load alternativesTry againDakshinamurthy and Lingotpavar are the only ones in Koshta. Shree Durga shrine stands alone.Shree Durga shrine stands alone.Can't load alternativesTry againShree Durga shrine stands alone. There are shrines of Ganesha, Murugan, and Chandikeshwara in the prakaram.There are shrines of Ganesha, Murugan, and Chandikeshwara in the prakaram.Can't load alternativesTry againThere are shrines of Ganesha, Murugan, and Chandikeshwara in the prakaram.
place of remedy
place of remedyCan't load alternativesTry again
place of remedy
A place to get relief from evil and witchcraft.
A place to get relief from evil and witchcraft.Can't load alternativesTry again
A place to get relief from evil and witchcraft. Mars also acts as a dosha-reliever.Mars also acts as a dosha-reliever.Can't load alternativesTry againMars also acts as a dosha-reliever. After the evening puja, Shivacharya devotees put Swami Vibhuti on their heads and give prasad to them to remove all evils.After the evening puja, Shivacharya devotees put Swami Vibhuti on their heads and give prasad to them to remove all evils.Can't load alternativesTry againAfter the evening puja, Shivacharya devotees put Swami Vibhuti on their heads and give prasad to them to remove all evils. Garlanding of betel leaves here is very special.Garlanding of betel leaves here is very special.Can't load alternativesTry againGarlanding of betel leaves here is very special. Puja is held here twice.Puja is held here twice.Can't load alternativesTry againPuja is held here twice. 7.00 am to 12.00 pm on new moon and full moon days.7.00 am to 12.00 pm on new moon and full moon days.Can't load alternativesTry again7.00 am to 12.00 pm on new moon and full moon days.
For further details Mr. Sentikumar-94442 86077, Mr. Wigneswaran-9976567410, Mr. Duraisamy- 9443616894.
For further details Mr. Sentikumar-94442 86077, Mr. Wigneswaran-9976567410, Mr. Duraisamy- 9443616894.Can't load alternativesTry again
For further details Mr. Sentikumar-94442 86077, Mr. Wigneswaran-9976567410, Mr. Duraisamy- 9443616894."
22,2573,Siruthamur Sivan Temple,"Emperuman Easwaran has a temple in Sirutamur village along with mother Sri Anandhavalli Devi with the name of Bhootagriswarar.Emperuman Easwaran has a temple in Sirutamur village along with mother Sri Anandhavalli Devi with the name of Bhootagriswarar.Can't load alternativesTry againEmperuman Easwaran has a temple in Sirutamur village along with mother Sri Anandhavalli Devi with the name of Bhootagriswarar. Iswaran is presented in white color on a square shaped pedestal.Iswaran is presented in white color on a square shaped pedestal.Can't load alternativesTry againIswaran is presented in white color on a square shaped pedestal. Villagers are building a bigger temple while the old temple is dilapidated.Villagers are building a bigger temple while the old temple is dilapidated.Can't load alternativesTry againVillagers are building a bigger temple while the old temple is dilapidated. The palalayam is done and the temple is nearing completion.The palalayam is done and the temple is nearing completion.Can't load alternativesTry againThe palalayam is done and the temple is nearing completion. Lord Nandi here has his head turned to the left which is not seen anywhere else.Lord Nandi here has his head turned to the left which is not seen anywhere else.Can't load alternativesTry againLord Nandi here has his head turned to the left which is not seen anywhere else. Vinayagar, Valli Devasena Sametha Murugan, Sandikeswarar, Ambal, Patti Lingam and Nandi are ancient deities.Vinayagar, Valli Devasena Sametha Murugan, Sandikeswarar, Ambal, Patti Lingam and Nandi are ancient deities.Can't load alternativesTry againVinayagar, Valli Devasena Sametha Murugan, Sandikeswarar, Ambal, Patti Lingam and Nandi are ancient deities. Elephant vehicle to Murugan here.Elephant vehicle to Murugan here.Can't load alternativesTry againElephant vehicle to Murugan here. Pooja is held regularly.Pooja is held regularly.Can't load alternativesTry againPooja is held regularly. Contact Mr. Jayachandran-9840518826, Mr. Nagarajan- 9382292689, Mr. Vijayan-9444880118. This place is 6 km from Tirupporur.Contact Mr. Jayachandran-9840518826, Mr. Nagarajan- 9382292689, Mr. Vijayan-9444880118. This place is 6 km from Tirupporur.Can't load alternativesTry againContact Mr. Jayachandran-9840518826, Mr. Nagarajan- 9382292689, Mr. Vijayan-9444880118. This place is 6 km from Tirupporur. Buses come here from Tiruporur, Chengalpattu, Koyambedu.Buses come here from Tiruporur, Chengalpattu, Koyambedu.Can't load alternativesTry againBuses come here from Tiruporur, Chengalpattu, Koyambedu."
23,3082,Kattoor Sivan Temple,"Author Sri Vaidyanath (Swayambu)Author Sri Vaidyanath (Swayambu)Can't load alternativesTry againAuthor Sri Vaidyanath (Swayambu)
Ambal Sri Taiyalanaiki
Ambal Sri TaiyalanaikiCan't load alternativesTry again
Ambal Sri Taiyalanaiki
Other shrines are Goshta Murthys,Nalvar,Vinayak Sekijar,Kashi Vishwanath Visalakshi Murugan,Gaja Lakshmi,Ankarakan,Navagragam.
Other shrines are Goshta Murthys,Nalvar,Vinayak Sekijar,Kashi Vishwanath Visalakshi Murugan,Gaja Lakshmi,Ankarakan,Navagragam.Can't load alternativesTry again
Other shrines are Goshta Murthys,Nalvar,Vinayak Sekijar,Kashi Vishwanath Visalakshi Murugan,Gaja Lakshmi,Ankarakan,Navagragam.
This place is known as Vadavaitheeswaram.
This place is known as Vadavaitheeswaram.Can't load alternativesTry again
This place is known as Vadavaitheeswaram. History says that Sage Sri Agastya worshiped Isaan and removed the bonds of people.History says that Sage Sri Agastya worshiped Isaan and removed the bonds of people.Can't load alternativesTry againHistory says that Sage Sri Agastya worshiped Isaan and removed the bonds of people. The Sivaganga Theertha here was made by Agathiya.The Sivaganga Theertha here was made by Agathiya.Can't load alternativesTry againThe Sivaganga Theertha here was made by Agathiya. Panguni was happy to see Shivashakti Thirukalyanam here on Uttaram.Panguni was happy to see Shivashakti Thirukalyanam here on Uttaram.Can't load alternativesTry againPanguni was happy to see Shivashakti Thirukalyanam here on Uttaram. There is a separate shrine for Ankarakan here.There is a separate shrine for Ankarakan here.Can't load alternativesTry againThere is a separate shrine for Ankarakan here.
In the nearby village of Vembedu, it is customary to visit Bhairava on the top of the hill and then visit Uthra Vaideeswara Swamy.
In the nearby village of Vembedu, it is customary to visit Bhairava on the top of the hill and then visit Uthra Vaideeswara Swamy.Can't load alternativesTry again
In the nearby village of Vembedu, it is customary to visit Bhairava on the top of the hill and then visit Uthra Vaideeswara Swamy.
Mars is the place to get rid of dosha and cure all kinds of ailments.
Mars is the place to get rid of dosha and cure all kinds of ailments.Can't load alternativesTry again
Mars is the place to get rid of dosha and cure all kinds of ailments.
Temple Timings 6 am - 11 pm 4.30 pm - 8.00 pm
Temple Timings 6 am - 11 pm 4.30 pm - 8.00 pmCan't load alternativesTry again
Temple Timings 6 am - 11 pm 4.30 pm - 8.00 pm
Contact Mr. Punniakodi-9884364272, Mr. Arivarasan- 7550352490, Mr. Natarasan-9445366044.
Contact Mr. Punniakodi-9884364272, Mr. Arivarasan- 7550352490, Mr. Natarasan-9445366044.Can't load alternativesTry again
Contact Mr. Punniakodi-9884364272, Mr. Arivarasan- 7550352490, Mr. Natarasan-9445366044. This temple is on Tiruporur Mambakkam road.This temple is on Tiruporur Mambakkam road.Can't load alternativesTry againThis temple is on Tiruporur Mambakkam road. Tiruporur is 6 km from here.Tiruporur is 6 km from here.Can't load alternativesTry againTiruporur is 6 km from here."
24,3209,Amoor Temples,"It is about 8 km on the road from Thiruporur to Thirukkalukkunram.It is about 8 km on the road from Thiruporur to Thirukkalukkunram.Can't load alternativesTry againIt is about 8 km on the road from Thiruporur to Thirukkalukkunram. Sri Tripura Sundari Sametha Sri Aayyaar Wodeyar Temple is located in the remote village of Amur.Sri Tripura Sundari Sametha Sri Aayyaar Wodeyar Temple is located in the remote village of Amur.Can't load alternativesTry againSri Tripura Sundari Sametha Sri Aayyaar Wodeyar Temple is located in the remote village of Amur. This ancient temple was built entirely of stones.This ancient temple was built entirely of stones.Can't load alternativesTry againThis ancient temple was built entirely of stones. Moolavar Thirumeni is made of white stone.Moolavar Thirumeni is made of white stone.Can't load alternativesTry againMoolavar Thirumeni is made of white stone. Other shrines are of Ganesha, Murugan, Brahma, Surya, Bhairava, and Jeshta Devi.Other shrines are of Ganesha, Murugan, Brahma, Surya, Bhairava, and Jeshta Devi.Can't load alternativesTry againOther shrines are of Ganesha, Murugan, Brahma, Surya, Bhairava, and Jeshta Devi. Puja takes place for a while.Puja takes place for a while.Can't load alternativesTry againPuja takes place for a while. The temple is currently under renovation.The temple is currently under renovation.Can't load alternativesTry againThe temple is currently under renovation. Contact Mr. Radha Krishnan- 9840228023, Mr. Jayaraman-9841833452, Mr. Pandian-9444364903.Contact Mr. Radha Krishnan- 9840228023, Mr. Jayaraman-9841833452, Mr. Pandian-9444364903.Can't load alternativesTry againContact Mr. Radha Krishnan- 9840228023, Mr. Jayaraman-9841833452, Mr. Pandian-9444364903. Buses ply here from Tiruporur, and Tambaram.Buses ply here from Tiruporur, and Tambaram.Can't load alternativesTry againBuses ply here from Tiruporur, and Tambaram. The temple is near Thirukkulam.The temple is near Thirukkulam.Can't load alternativesTry againThe temple is near Thirukkulam. A head tree.A head tree.Can't load alternativesTry againA head tree. 
Sri Vaikunda Perumal has a temple in Amur village as Sridevi Bhudevi Samethar.
Sri Vaikunda Perumal has a temple in Amur village as Sridevi Bhudevi Samethar.Can't load alternativesTry again
Sri Vaikunda Perumal has a temple in Amur village as Sridevi Bhudevi Samethar. Sri Garudazhwar shrine is in separate hall opposite to Perumal shrine.Sri Garudazhwar shrine is in separate hall opposite to Perumal shrine.Can't load alternativesTry againSri Garudazhwar shrine is in separate hall opposite to Perumal shrine. The temple is in a state of repair.The temple is in a state of repair.Can't load alternativesTry againThe temple is in a state of repair. No daily pujas are performed here.No daily pujas are performed here.Can't load alternativesTry againNo daily pujas are performed here. Contact Mr. Radhakrishnan-9840228023, Mr. Jayaraman-98418 33452 Mr.Contact Mr. Radhakrishnan-9840228023, Mr. Jayaraman-98418 33452 Mr.Can't load alternativesTry againContact Mr. Radhakrishnan-9840228023, Mr. Jayaraman-98418 33452 Mr. Pandian-9444364903.Pandian-9444364903.Can't load alternativesTry againPandian-9444364903."
25,1956,Agaram Temples,"The ancient Shiva Temple and Perumal Temple are located in Akaram village on Tiruporur Tirukkalukkunram road.The ancient Shiva Temple and Perumal Temple are located in Akaram village on Tiruporur Tirukkalukkunram road.Can't load alternativesTry againThe ancient Shiva Temple and Perumal Temple are located in Akaram village on Tiruporur Tirukkalukkunram road.The Shivalayam, which is a stone temple, is founded by Sri Kailasanathar.The Shivalayam, which is a stone temple, is founded by Sri Kailasanathar.Can't load alternativesTry againThe Shivalayam, which is a stone temple, is founded by Sri Kailasanathar. Ambal Thirunamam Sri Akhilandeshwari.Ambal Thirunamam Sri Akhilandeshwari.Can't load alternativesTry againAmbal Thirunamam Sri Akhilandeshwari. Along with Pancha Goshta shrines there are shrines of Vinayaka, Subramaniyar, Bhairava, Nalvar etc.Along with Pancha Goshta shrines there are shrines of Vinayaka, Subramaniyar, Bhairava, Nalvar etc.Can't load alternativesTry againAlong with Pancha Goshta shrines there are shrines of Vinayaka, Subramaniyar, Bhairava, Nalvar etc. Sometimes a pooja takes place.Sometimes a pooja takes place.Can't load alternativesTry againSometimes a pooja takes place. The temple also has a Thirukkulam.The temple also has a Thirukkulam.Can't load alternativesTry againThe temple also has a Thirukkulam. Contact Mr. Ayyappan- 9940872125, Mr. Shanmugam-9677695375.Contact Mr. Ayyappan- 9940872125, Mr. Shanmugam-9677695375.Can't load alternativesTry againContact Mr. Ayyappan- 9940872125, Mr. Shanmugam-9677695375.
The Perumal here is Sri Vaikundavasa Perumal.
The Perumal here is Sri Vaikundavasa Perumal.Can't load alternativesTry again
The Perumal here is Sri Vaikundavasa Perumal. There are no pujas here.There are no pujas here.Can't load alternativesTry againThere are no pujas here. The temple is in need of repair.The temple is in need of repair.Can't load alternativesTry againThe temple is in need of repair."
26,1538,Arunkundram Perumal Temple,"The very old temple is now newly constructed.The very old temple is now newly constructed.Can't load alternativesTry againThe very old temple is now newly constructed. Sri Lakshminarayana Perumal is depicted in a kolam sitting with mother Sri Lakshmi Devi on her lap.Sri Lakshminarayana Perumal is depicted in a kolam sitting with mother Sri Lakshmi Devi on her lap.Can't load alternativesTry againSri Lakshminarayana Perumal is depicted in a kolam sitting with mother Sri Lakshmi Devi on her lap. There is a separate temple for Sri Anjaneya nearby.There is a separate temple for Sri Anjaneya nearby.Can't load alternativesTry againThere is a separate temple for Sri Anjaneya nearby. Sometimes a pooja takes place.Sometimes a pooja takes place.Can't load alternativesTry againSometimes a pooja takes place. Contact Mr. Perumal-6380548907, Mr. Paranthaman-638399912, Mr. Shanmugasundaram-99527 84431 Tiruporur - Arungunram about 13 km.Contact Mr. Perumal-6380548907, Mr. Paranthaman-638399912, Mr. Shanmugasundaram-99527 84431 Tiruporur - Arungunram about 13 km.Can't load alternativesTry againContact Mr. Perumal-6380548907, Mr. Paranthaman-638399912, Mr. Shanmugasundaram-99527 84431 Tiruporur - Arungunram about 13 km. Bus facility Koyambedu-Thirukalukkunram, Tiruporur-Thirukalukkunram, Tambaram-Thirukalukkunram.Bus facility Koyambedu-Thirukalukkunram, Tiruporur-Thirukalukkunram, Tambaram-Thirukalukkunram.Can't load alternativesTry againBus facility Koyambedu-Thirukalukkunram, Tiruporur-Thirukalukkunram, Tambaram-Thirukalukkunram."
