id,block,block_header,temple_name,deities,location,nearby_town,district,dynasty,condition,functional_status,accessibility,page_content
10,7,Siruseri Temples,Unknown,"Lord (Shiva), Ambal, Nadia, Chandikeswarar","Sirusheri near Kelambakkam, Chennai",Kelambakkam,Chennai,,Dilapidated,Functional,"Auto from Nawalur, buses from Kelambakkam and Adyar","This temple is located in Sirusheri near Kelambakkam, Chennai.Eason, who previously resided in a stone temple with a circular flight structure, now gives darshan in a small shed.Lord facing East on square pedestal.Ambal is nearby.Name unknown.In front of Lord Nadia.Chandikeswarar is outside in worn condition.Perhaps a servant is doing the puja here.Tirukulam is seen opposite. Sri Neela Manikka Perumal presents Sridevi as Boodevi Samethar in the Golam.A separate shrine for Hayagriva.The temple is well maintained.Puja is performed daily.Contact Mr. Sundararajan- 99529 99694, Mr. Sriram-9841046408.There is an auto facility from Nawalur which is on the road to reach this place.And there are buses from Kelambakkam, Adyar."
11,7,Siruseri Temples,Sri Neela Manikka Perumal Temple,"Sri Neela Manikka Perumal, Sridevi, Boodevi, Hayagriva","Sirusheri near Kelambakkam, Chennai",Kelambakkam,Chennai,,Intact,Functional,"Auto from Nawalur, buses from Kelambakkam and Adyar","This temple is located in Sirusheri near Kelambakkam, Chennai.Eason, who previously resided in a stone temple with a circular flight structure, now gives darshan in a small shed.Lord facing East on square pedestal.Ambal is nearby.Name unknown.In front of Lord Nadia.Chandikeswarar is outside in worn condition.Perhaps a servant is doing the puja here.Tirukulam is seen opposite. Sri Neela Manikka Perumal presents Sridevi as Boodevi Samethar in the Golam.A separate shrine for Hayagriva.The temple is well maintained.Puja is performed daily.Contact Mr. Sundararajan- 99529 99694, Mr. Sriram-9841046408.There is an auto facility from Nawalur which is on the road to reach this place.And there are buses from Kelambakkam, Adyar."
12,8,Pudupakkam Temples,Sri Devi Bhudevi Sametha Karunakaralakshminarayan,"Sri Devi, Bhudevi, Karunakaralakshminarayan, Thiruvidanta Sri Nitya Kalyana Perumal, Twelve Alwars, Vinayaka, Murugan, Panchamuga Anjaneya, Ramanuja, Vishwaksena, Shirdi Baba",Pudupakkam,Vandalur-Kelambakkam road,,Pandya kings,Intact,Functional,Well-connected via Vandalur-Kelambakkam road,"Built by the Pandya kings, this temple is now resplendent.The source is Sri Devi Bhudevi Sametha Karunakaralakshminarayan.Standing column.Utsavar is the same name.Other shrines here are Twelve Alwars, Vinayaka, Murugan, Panchamuga Anjaneya, Ramanuja, Vishwaksena, Shirdi Baba.One of the 108 Vaishnava thalams, Thiruvidanta Sri Nitya Kalyana Perumal, is visited at Parivettai in Thaimatham and the Thirumanjana Vaipavam takes place.Contact Mr. Ramanathan-9841439552, Mr. Balakrishnan-97912 30348, Mr. Narasimhan-97102 39076. You can reach this village by taking the road to the left after the light post on the Vandalur-Kelambakkam road. There is also an ancient Shiva temple in Puducherry village.Lord Thirunam Sri Agastheeswarar.Goddess, Sri Akilandeshwari.Like Pancha Goshta in Shiva Goshta, Ambal also has Pancha Goshta deities.The temple was renovated in 2006 and pujas are being held.Adi Agastheeswarar Shivlingam is found behind the sanctum sanctorum in the prakaram.There are shrines of Vinayagar, Valli Devasena Subramanyar, Bhairava, Chandikeswarar and Navagraha.Puja takes place twice.Contact Mr. Vasudevan-9444118745.Thala Vridsham is a novel.All the celebrations take place here in a grand manner. It also serves as a place of reparation for lost wealth and lost goods."
13,8,Pudupakkam Temples,Sri Agastheeswarar Temple,"Lord Thirunam Sri Agastheeswarar, Goddess Sri Akilandeshwari, Vinayagar, Valli Devasena Subramanyar, Bhairava, Chandikeswarar, Navagraha, Adi Agastheeswarar Shivlingam",Puducherry village,Vandalur-Kelambakkam road,,,Intact,Functional,Well-connected via Vandalur-Kelambakkam road,"Built by the Pandya kings, this temple is now resplendent.The source is Sri Devi Bhudevi Sametha Karunakaralakshminarayan.Standing column.Utsavar is the same name.Other shrines here are Twelve Alwars, Vinayaka, Murugan, Panchamuga Anjaneya, Ramanuja, Vishwaksena, Shirdi Baba.One of the 108 Vaishnava thalams, Thiruvidanta Sri Nitya Kalyana Perumal, is visited at Parivettai in Thaimatham and the Thirumanjana Vaipavam takes place.Contact Mr. Ramanathan-9841439552, Mr. Balakrishnan-97912 30348, Mr. Narasimhan-97102 39076. You can reach this village by taking the road to the left after the light post on the Vandalur-Kelambakkam road. There is also an ancient Shiva temple in Puducherry village.Lord Thirunam Sri Agastheeswarar.Goddess, Sri Akilandeshwari.Like Pancha Goshta in Shiva Goshta, Ambal also has Pancha Goshta deities.The temple was renovated in 2006 and pujas are being held.Adi Agastheeswarar Shivlingam is found behind the sanctum sanctorum in the prakaram.There are shrines of Vinayagar, Valli Devasena Subramanyar, Bhairava, Chandikeswarar and Navagraha.Puja takes place twice.Contact Mr. Vasudevan-9444118745.Thala Vridsham is a novel.All the celebrations take place here in a grand manner. It also serves as a place of reparation for lost wealth and lost goods."
14,9,Velichai Siva Vishnu Temple,Velichai Siva Vishnu Temple,"Sri Pasupadeeswarar, Ambal Sri Simmavalli, Lord Vishnu (Sri Sundara Varadaraja), Sri Kanakavalli's mother Tanichannadi, Dwara Ganapati, Murugan, Nataraja, Sivagami, Manikavasar, Pulipani, Kannimoolai Ganapati, Goshta Murthys, Vishwarupa Anjaneya, Surya, Chandran, Bhairava, Pratyangara Devi, Panduranga, Rukmini Devi, Valli Devasena Subramaniar, Sita Rama Lakshmana, Vallalar","Ilashai village, on Vandalur-Kelambakkam road, opposite Anjaneya temple",,,,,Functional,"On Vandalur-Kelambakkam road, opposite Anjaneya temple","The temple built by the Brahma sage Shri Satasiva Brahmandral is located in the village of Ilashai.There are numerous deity shrines in this temple, which is located with the Periya Raja Gopuram and the flagpole.In Moolasthan, Sri Pasupadeeswarar is facing east direction.Ambal Sri Simmavalli shrine is facing south.Lord Vishnu is present in a separate temple named Sri Sundara Varadaraja.Sri Kanakavalli's mother also has Tanichannadi.Other shrines are Dwara Ganapati, Murugan, Nataraja, Sivagami, Manikavasar, Pulipani, Kannimoolai Ganapati, Goshta Murthys, Vishwarupa Anjaneya, Surya, Chandran, Bhairava, Pratyangara Devi, Panduranga, Rukmini Devi, Valli Devasena Subramaniar, Sita Rama Lakshmana, Vallalar.Temple time is 9-11 am. Here everyone can go inside the sanctum and worship the Lord.Contact 044 24640306. On the Vandalur-Kelambakkam road, you can reach this temple by taking the road opposite to the Anjaneya temple."
15,10,Velichai Anjaneyar Temple,Velichai Anjaneyar Temple,Anjaneya (Hanuman),On Gaja Giri hill near Vandalur-Kelambakkam road,"Vandalur, Kelambakkam",Chengalpattu,,Intact,Functional,"Well-connected, near Vandalur-Kelambakkam road","Originally called on Gaja Giri, there is an ancient Anjaneya temple on this small hill.On this hill with 108 steps, Anjaneya is a benediction kolam with Thirumeni looking east and facing north without weapon.Puducherry Sri Nithyakalyana Perumal Bari Hunting Ground.A large number of devotees come to this temple which is a great remedy.To fulfill all the prayers, coconuts and bells are worshipped.After the puja here, sprinkling of Valpuri Sangu Theertha on the devotee is considered to be able to remove all doshas.Contact Mr. Suresh Bhatter- 9445299105, Mr. Mohan Bhatter-9444680711, Mr. Satya Narayanan- 9444824722. This hill is located near Vandalur- Kelambakkam road."
16,11,Illalur Temples,Sri Swayambeeswarar Temple,"Sri Swayambeeswarar, Ambal Sri Karpakampal, Nandi, Goshta Murthy, Chandikeswarar, Navagraha","Illalur village, near Thirukkulam",Tirupporur,,,Intact,Functional,"Well-connected (buses from Thambaram-Thiruporur, Thambaram-Nellikuppam)","About 6 km from Tirupporur, a road leading west leads to Illalur village.The old temple here is now newly built and worship is going on.The name of the Lord is Sri Swayambeeswarar.Ambal Sri Karpakampal is no more.There are shrines of Nandi, Goshta Murthy, Chandikeswarar and Navagraha.The sacred temple is found near Thirukkulam.Earlier Swami was Swayambu at Kulakarai in Vetaveli.Shivratri 6 Kalam, Annabhishekam, Karthikai Deepam, Somavar Pujas are held here.Contact Mr. Chakrapani-9176822119, Mr. Veeraragavan-94450 05635.  In the same village there is Sri Amritavalli's mother Samethar Sri Adikesava Perumal Temple. A small temple.Flagpole outside, Garuda Mandapam.In the sanctum sanctorum, Perumal is holding the Pryoga Sakram.Inside there are images of Andal, Wodevar, Nammalvar, Vishwaksenaar, Chakratthalvar and Thiruvathivam.Shree Anjaneya shrine in a separate temple nearby.Contact Mr. Rangaraja Bhattacharya- 8939945775. One time puja is held.A clean temple pond is seen along the steps. Thambaram-Thiruporur, Thambaram-Nellikuppam buses ply here."
17,11,Illalur Temples,Sri Adikesava Perumal Temple,"Sri Adikesava Perumal, Sri Amritavalli, Andal, Wodevar, Nammalvar, Vishwaksenaar, Chakratthalvar, Thiruvathivam, Sri Anjaneya (separate shrine)",Illalur village,Tirupporur,,,Intact,Functional,"Well-connected (buses from Thambaram-Thiruporur, Thambaram-Nellikuppam)","About 6 km from Tirupporur, a road leading west leads to Illalur village.The old temple here is now newly built and worship is going on.The name of the Lord is Sri Swayambeeswarar.Ambal Sri Karpakampal is no more.There are shrines of Nandi, Goshta Murthy, Chandikeswarar and Navagraha.The sacred temple is found near Thirukkulam.Earlier Swami was Swayambu at Kulakarai in Vetaveli.Shivratri 6 Kalam, Annabhishekam, Karthikai Deepam, Somavar Pujas are held here.Contact Mr. Chakrapani-9176822119, Mr. Veeraragavan-94450 05635.  In the same village there is Sri Amritavalli's mother Samethar Sri Adikesava Perumal Temple. A small temple.Flagpole outside, Garuda Mandapam.In the sanctum sanctorum, Perumal is holding the Pryoga Sakram.Inside there are images of Andal, Wodevar, Nammalvar, Vishwaksenaar, Chakratthalvar and Thiruvathivam.Shree Anjaneya shrine in a separate temple nearby.Contact Mr. Rangaraja Bhattacharya- 8939945775. One time puja is held.A clean temple pond is seen along the steps. Thambaram-Thiruporur, Thambaram-Nellikuppam buses ply here."
18,12,Kalavakkam Sivan Temple,Kalavakkam Sivan Temple,"Sri Kamadenu Ishwar (Shiva), Sri Gokilampal (Ambal)","Kalavakkam village, before Thiruporur on Mamallapuram road",Thiruporur,,,,Functional,Well-connected,The temple was built according to Sri Shankaracharya's Arulasi of Kanchi by taking the Shiva Lingam that was outside the cut.East facing shrine.Tirunam Sri Kamadenu Ishwar.Ambal Sri Gokilampal.There is no Ambal idol.Enthrallment before Swami.A temple pond is found nearby.The temple is situated in Kalavakkam village which is before Thiruporur on Mamallapuram road.Contact Mr. Munusamy-9962596849.
19,13,Kottamedu Sivan Temple,Kottamedu Sivan Temple,"Lord Sri Jalakandeswarar, Lord Sri Jagathampal, Nardhana Vinayagar, Dakshinamurthy, Maha Vishnu, Brahma, Durga, Ganesha, Goddess Lakshmi, Goddess Parvati, Goddess Saraswati","On Chengalpattu Road, Tirupporur; also accessible via Guduvanchery-Kottaimedu road","Tirupporur, Guduvanchery",Chengalpattu,,Intact,Functional,Well-connected; all Tiruporur-Chengalpattu buses stop here,"Lord Sri Jalakandeswarar Lord Sri Jagathampal In the temple which is about 2000 years old, Eason has risen as Swayambu.A temple built entirely of stones.There is always moisture in the Lord's womb.Nardhana Vinayagar in Prakaram, Dakshinamurthy, Maha Vishnu, Brahma, Durga in Shiva Koshta with excellent artistic aspect can be seen.Ganesha, who is a maiden, tilts his head and gives a view.Goddesses Lakshmi, Parvati and Saraswati are seen in Ambal Koshta in Prakaram.Thala Vridsham Ilupai.The water in the temple well never runs dry.There is a pond nearby.Sometimes a pooja takes place.Contact Mr. Srinivasan- 9962269957, 9962086925, Mr. Shankar-98405 21944. This village is situated on Chengalpattu Road, Tirupporur.Can also come on Guduvanchery-Kottaimedu road.All Tiruporur-Chengalpattu buses stop here."
20,14,Acharaavakkam Temples,Sri Agastheeswarar Temple,"Sri Agastheeswarar, Shri Anandhavalli, Dwara Ganapati, Murugan, Chandikeswarar, Navagragam",Acharavakkam (near Sembakkam),"Tiruporur (9 km), Chengalpattu, Velachery, Thiruvanmiyur",Chengalpattu,,Intact,Functional,"Well-connected by buses from Chengalpattu, Velachery, Thiruvanmiyur","As the old temple was completely ruined, the villagers of Acharavaka got together and built a new temple.Moolavar Sri Agastheeswarar.Ambal Shri Anandhavalli.East facing shrine.There are shrines of Dwara Ganapati and Murugan on the facade.The Nandi Mandapam is found in front of the Dwara shrine.There are sanctuaries of Chandikeswarar near Komugam and Navagragam at the north-east corner.Puja takes place for a while.A temple pond is found nearby.Contact Mr. Venkatesan- 9952304174, Mr. Selvakumar-9940216984, Ms. Sasikala-9840804196.Tiruporur is 9 km from here.Come to Sembakkam and visit this temple.Buses come here from Chengalpattu, Velachery, Thiruvanmiyur. There is also an ancient Perumal temple in Acharavaka village.Small temple.The Garudalwar shrine is seen outside the temple.In the sanctum sanctorum Sridevi Bhudevi Sametha Sri Karyamanika Perumal stood in the kolam.All seven forms of Alvars are present in the Maha Mandapam.Daily puja takes place.It is said that the Shiva temple here and this temple were built at the same time."
21,14,Acharaavakkam Temples,Sri Karyamanika Perumal Temple,"Sri Karyamanika Perumal, Sridevi, Bhudevi, Garudalwar, Seven Alvars",Acharavakkam village,"Tiruporur (9 km), Chengalpattu, Velachery, Thiruvanmiyur",Chengalpattu,,Intact,Functional,"Well-connected by buses from Chengalpattu, Velachery, Thiruvanmiyur","As the old temple was completely ruined, the villagers of Acharavaka got together and built a new temple.Moolavar Sri Agastheeswarar.Ambal Shri Anandhavalli.East facing shrine.There are shrines of Dwara Ganapati and Murugan on the facade.The Nandi Mandapam is found in front of the Dwara shrine.There are sanctuaries of Chandikeswarar near Komugam and Navagragam at the north-east corner.Puja takes place for a while.A temple pond is found nearby.Contact Mr. Venkatesan- 9952304174, Mr. Selvakumar-9940216984, Ms. Sasikala-9840804196.Tiruporur is 9 km from here.Come to Sembakkam and visit this temple.Buses come here from Chengalpattu, Velachery, Thiruvanmiyur. There is also an ancient Perumal temple in Acharavaka village.Small temple.The Garudalwar shrine is seen outside the temple.In the sanctum sanctorum Sridevi Bhudevi Sametha Sri Karyamanika Perumal stood in the kolam.All seven forms of Alvars are present in the Maha Mandapam.Daily puja takes place.It is said that the Shiva temple here and this temple were built at the same time."
22,15,Madayathur Sivan Temple,Madayathur Sivan Temple,"Sri Malleeswarar, Sri Manikavalli, Shiva Lingam, Chandikeswarar, Nandi, Pancha Goshta deities, Dwara Vinayaka, Murugan, Chandikeshwara","Madadthur village, about 5 km on the Tiruporur-Chengalpattu road","Tiruporur, Chengalpattu",Chengalpattu,"Pallava (king Kripadavarman), rebuilt in 2004",Intact,Functional,"Accessible by bus to Madadthur Good Road, then 1 km drive","Swami Thirunamam- Sri Malleeswarar Ambal - Sri Manikavalli The stone temple built by the Pallava king Kripadavarman has been a mound of mud since long ago and disappeared in the flood of time.The temple was built in the year 2004 by taking the Shiva Lingam, Chandikeswarar, and Nandi idols that were scattered here and there.With the blessings of Jagathguru Sri Jayendra Saraswati Swami, Mr. Chandrasekaran took great efforts and with the cooperation of the villagers, this work has been completed.There are Pancha Goshta shrines, Dwara Vinayaka, Murugan and Chandikeshwara shrines.Behind the temple there is a Siddhar Samadhi.Pooja is regularly held here for a period of time.Neem is the main plant of the temple.There is also Thirukulam. Madadthur village, about 5 km on the Tiruporur- Chengalpattu road.is far away.Get down by bus at Madadthur Good Road and drive for about 1 km.must goContact Mr Chandrasekaran- 9283736233"
